This file was created by CMPT_ME_PRIOR_RETS using the 201803 CRSP database.
It contains value- weighted returns for the intersections of  2 ME portfolios
and  3 prior return portfolios.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  PRIOR_RET is from - 1 to - 1.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
196303,    -8.25,    -1.70,     6.02,    -6.30,    -1.70,     3.37
196304,    -4.85,     1.41,    10.35,    -2.70,     1.92,     7.28
196305,    -4.55,     3.45,    13.04,    -1.76,     4.00,     9.82
196306,    -4.56,     2.15,    12.87,    -2.39,     2.02,     9.55
196307,    -7.59,    -1.67,     6.03,    -6.17,    -1.76,     3.14
196308,    -7.75,    -1.21,     7.53,    -5.93,    -1.07,     3.69
196309,    -2.57,     4.45,    14.58,     0.02,     4.57,    11.83
196310,    -8.86,    -2.31,     6.84,    -6.93,    -2.27,     3.12
196311,    -6.32,     0.91,    11.81,    -4.11,     1.23,     9.29
196312,    -7.44,    -1.14,     6.15,    -5.98,    -1.18,     4.13
196401,    -6.57,     0.35,     9.57,    -4.74,     0.42,     6.91
196402,    -6.42,     1.48,    12.62,    -4.57,     2.15,     7.83
196403,    -4.70,     1.75,    12.44,    -2.50,     1.28,     8.02
196404,    -5.44,     2.20,    14.24,    -2.73,     2.04,    10.19
196405,    -8.30,    -0.82,     9.22,    -5.94,    -0.23,     5.78
196406,    -5.79,     0.69,    10.06,    -3.96,     0.47,     6.75
196407,    -5.50,     1.32,    10.28,    -3.09,     0.95,     6.69
196408,    -4.61,     2.14,    12.13,    -2.76,     2.59,     8.18
196409,    -7.64,    -1.03,     7.44,    -5.31,    -1.25,     3.75
196410,    -3.57,     2.86,    14.42,    -1.69,     3.03,     9.12
196411,    -5.92,     1.12,    10.73,    -4.05,     0.90,     7.51
196412,    -7.15,    -0.11,     8.58,    -4.67,     0.41,     5.05
196501,    -7.32,    -1.00,     7.55,    -5.33,    -0.71,     4.19
196502,    -2.15,     5.33,    15.63,    -1.00,     4.88,    11.59
196503,    -4.27,     2.19,    12.17,    -3.30,     1.58,     8.97
196504,    -6.18,    -0.03,     9.04,    -4.53,    -0.11,     5.31
196505,    -3.98,     2.99,    13.55,    -2.25,     2.58,     9.51
196506,    -7.51,    -1.50,     7.76,    -5.66,    -1.30,     4.15
196507,   -14.06,    -7.54,    -1.06,   -12.33,    -6.73,    -2.27
196508,    -3.68,     2.25,    11.10,    -2.29,     2.50,     8.70
196509,    -2.62,     3.48,    13.74,    -0.79,     3.32,    10.03
196510,    -4.82,     2.08,    13.61,    -3.10,     2.26,     8.73
196511,    -3.14,     3.50,    15.83,    -2.33,     3.57,    11.31
196512,    -6.09,     1.73,    17.87,    -4.74,     0.71,    11.80
196601,    -5.23,     1.75,    15.36,    -3.23,     1.57,    11.03
196602,    -4.97,     2.97,    17.10,    -3.76,     1.57,    11.77
196603,    -7.08,    -0.58,    14.90,    -5.80,    -1.00,     8.54
196604,   -10.19,    -3.01,     9.31,    -7.54,    -3.22,     4.00
196605,    -5.17,     2.15,    16.34,    -3.92,     2.17,    10.56
196606,   -15.88,    -7.22,     0.95,   -13.82,    -6.52,    -0.65
196607,    -7.26,    -1.01,     8.34,    -6.04,    -1.21,     6.11
196608,    -8.42,    -1.55,     6.81,    -7.67,    -1.10,     4.59
196609,   -17.04,    -9.29,    -1.71,   -16.06,    -8.50,    -2.78
196610,    -9.32,    -1.43,     7.21,    -9.04,    -1.16,     5.74
196611,    -9.76,     1.24,    11.16,    -8.37,     1.65,    10.57
196612,    -6.43,     1.84,    17.70,    -5.41,     1.65,    16.04
196701,    -6.58,     0.59,    13.30,    -5.37,     0.69,     8.41
196702,     2.64,    13.55,    29.79,     3.19,    12.58,    24.28
196703,    -5.93,     1.13,    14.04,    -4.42,     0.84,     8.47
196704,    -4.48,     4.27,    18.86,    -2.32,     3.99,    14.32
196705,    -4.81,     2.98,    15.57,    -2.55,     3.01,    12.14
196706,   -10.95,    -2.49,     9.54,    -8.40,    -2.69,     6.19
196707,    -4.24,     3.64,    21.11,    -3.02,     3.57,    13.61
196708,    -2.88,     5.87,    20.87,    -1.84,     6.35,    16.35
196709,    -8.11,    -0.38,    10.94,    -6.14,    -0.80,     7.38
196710,    -5.24,     2.47,    18.65,    -3.79,     2.96,    10.77
196711,   -13.29,    -4.22,     8.69,   -11.39,    -4.58,     5.46
196712,    -8.16,    -0.14,    11.11,    -6.79,     0.37,     8.38
196801,    -3.69,     3.90,    21.04,    -2.62,     3.78,    13.91
196802,   -11.44,    -0.43,    13.59,   -11.13,    -1.52,     7.62
196803,   -13.77,    -4.10,     5.06,   -11.24,    -3.31,     2.47
196804,    -8.70,    -0.96,     8.52,    -6.50,    -0.85,     7.03
196805,     1.00,    10.89,    28.00,     1.84,    10.39,    21.82
196806,    -3.72,     4.31,    20.93,    -2.94,     3.99,    15.14
196807,    -7.97,     1.40,    13.38,    -5.71,     1.21,    10.20
196808,   -12.44,    -3.41,     8.55,   -10.41,    -3.12,     5.71
196809,    -5.48,     2.30,    13.94,    -4.27,     1.53,     9.51
196810,    -3.31,     4.96,    17.27,    -1.38,     4.87,    15.61
196811,    -8.45,     1.39,    11.13,    -6.02,     1.93,     9.14
196812,    -1.47,     6.78,    18.30,    -1.00,     6.55,    15.56
196901,    -9.76,    -2.48,    10.50,    -8.15,    -3.01,     6.41
196902,    -9.14,    -1.34,     9.28,    -7.00,    -0.75,     6.46
196903,   -15.48,    -7.15,     0.22,   -12.85,    -6.72,    -1.05
196904,    -6.90,     1.07,    12.22,    -5.10,     1.16,     8.79
196905,    -8.52,     0.39,    11.66,    -5.03,     0.88,     7.86
196906,    -8.73,    -0.59,    10.88,    -6.48,    -0.77,     6.16
196907,   -18.63,    -9.22,    -0.85,   -16.30,    -8.62,    -1.10
196908,   -17.65,    -7.45,     0.79,   -14.98,    -6.73,    -0.76
196909,    -4.06,     4.26,    16.42,    -2.58,     4.50,    13.77
196910,   -12.08,    -2.36,     9.98,   -10.39,    -1.91,     6.11
196911,    -3.10,     7.09,    22.05,    -0.46,     7.03,    15.81
196912,   -13.22,    -4.80,     4.61,   -10.75,    -4.70,     1.69
197001,   -15.51,    -4.36,     7.04,   -11.58,    -3.94,     3.81
197002,   -18.03,    -4.67,     5.92,   -15.25,    -5.81,     3.05
197003,    -6.15,     4.36,    18.16,    -3.81,     5.37,    14.09
197004,   -11.19,    -0.84,     8.81,    -7.78,    -0.91,     5.73
197005,   -25.36,   -12.08,    -3.50,   -21.66,   -11.69,    -5.29
197006,   -19.43,    -8.34,     1.02,   -17.15,    -7.43,     0.50
197007,   -18.87,    -6.45,     4.71,   -16.82,    -6.96,     2.71
197008,    -5.79,     6.67,    22.18,    -1.49,     8.22,    16.44
197009,    -3.95,     5.56,    18.77,    -1.50,     5.80,    15.39
197010,    -2.36,     7.55,    25.22,    -1.72,     7.64,    20.12
197011,   -16.53,    -4.14,     7.84,   -13.62,    -3.15,     3.77
197012,    -7.24,     3.42,    14.07,    -4.30,     4.07,    11.25
197101,    -2.37,     8.68,    21.57,     0.90,     8.11,    17.07
197102,    -0.83,     8.67,    24.38,    -0.03,     8.07,    18.07
197103,    -5.73,     1.92,    15.01,    -4.28,     1.96,     9.14
197104,    -4.84,     4.24,    17.89,    -2.51,     4.48,    13.31
197105,    -6.85,     2.23,    15.72,    -4.72,     2.25,    10.94
197106,   -12.06,    -4.64,     4.94,    -9.18,    -4.63,     1.93
197107,    -9.61,    -0.99,     9.30,    -7.46,    -0.62,     7.21
197108,   -14.51,    -4.19,     4.36,   -12.32,    -4.13,     2.43
197109,    -5.52,     4.58,    16.76,    -3.42,     5.08,    13.55
197110,    -9.55,    -1.52,     9.83,    -7.21,    -0.71,     5.32
197111,   -15.08,    -4.75,     4.12,   -13.01,    -3.70,     2.88
197112,   -10.75,    -2.03,     7.02,    -8.82,    -1.33,     3.92
197201,     0.60,    10.68,    23.75,     3.29,    10.03,    19.68
197202,    -4.86,     4.96,    20.34,    -3.04,     4.53,    15.71
197203,    -6.43,     2.32,    14.43,    -4.31,     1.81,    11.06
197204,    -8.84,    -0.13,    11.54,    -7.06,     0.17,     6.99
197205,    -8.92,    -0.06,    12.15,    -5.68,     0.03,     7.14
197206,   -10.32,    -1.70,     9.18,    -7.77,    -0.58,     6.63
197207,   -12.04,    -3.08,     7.07,   -10.56,    -2.56,     4.68
197208,   -11.82,    -2.26,     7.37,   -11.16,    -1.79,     4.90
197209,    -7.86,     2.47,    14.04,    -4.68,     2.58,    11.44
197210,   -10.53,    -2.49,     5.57,    -9.03,    -1.45,     3.66
197211,   -10.26,    -0.48,     9.75,    -6.77,     0.61,     7.58
197212,    -4.31,     6.06,    18.65,    -1.41,     5.68,    14.70
197301,   -10.08,    -2.03,     9.29,    -8.56,    -1.03,     5.58
197302,   -15.89,    -5.07,     6.99,   -14.14,    -4.65,     4.67
197303,   -16.55,    -6.29,     2.82,   -13.41,    -5.29,     1.29
197304,   -12.22,    -2.32,     8.13,    -9.64,    -1.78,     4.42
197305,   -18.70,    -5.85,     4.28,   -15.44,    -5.40,     1.48
197306,   -18.01,    -6.06,     4.38,   -14.60,    -4.72,     2.86
197307,   -14.13,    -2.92,     7.94,   -11.74,    -2.25,     4.25
197308,    -3.21,     9.54,    30.25,    -1.25,     8.83,    24.31
197309,   -13.82,    -3.63,     8.25,   -10.99,    -3.76,     5.21
197310,    -1.67,     9.38,    26.27,    -1.24,     9.00,    19.14
197311,   -13.42,    -1.28,    13.96,    -9.73,    -0.72,     9.14
197312,   -30.20,   -17.42,    -3.18,   -28.01,   -16.08,    -4.64
197401,   -14.06,    -1.12,    14.85,   -10.17,    -1.15,    11.17
197402,    -5.14,     8.24,    29.71,    -4.79,     7.71,    22.67
197403,    -9.41,     0.27,    14.12,    -6.63,    -0.09,     8.57
197404,   -11.34,    -1.63,    11.57,    -9.80,    -2.14,     5.11
197405,   -15.53,    -5.82,     4.39,   -14.49,    -5.07,     2.32
197406,   -16.90,    -6.93,     2.83,   -16.33,    -6.17,     3.19
197407,   -13.68,    -2.92,     8.38,   -12.11,    -2.30,     4.48
197408,   -16.84,    -4.09,     7.84,   -14.79,    -4.88,     5.71
197409,   -20.49,    -8.75,     2.90,   -18.55,    -9.07,     0.43
197410,   -21.04,    -7.89,     4.83,   -19.59,    -8.19,     2.89
197411,    -4.36,    10.08,    36.65,    -2.96,    12.23,    30.12
197412,   -15.34,    -3.65,    10.85,   -12.92,    -4.24,     5.55
197501,   -18.04,    -6.22,     7.31,   -14.51,    -4.80,     4.36
197502,     6.21,    26.37,    56.15,     6.81,    24.93,    43.50
197503,    -8.30,     2.75,    22.44,    -5.61,     3.54,    15.78
197504,    -5.15,     5.42,    25.20,    -3.76,     5.29,    16.75
197505,    -9.34,     2.54,    20.86,    -6.60,     2.12,    15.71
197506,    -4.88,     5.32,    25.26,    -3.33,     5.07,    17.90
197507,    -3.87,     6.42,    24.33,    -1.72,     6.15,    16.76
197508,   -14.93,    -4.75,     8.01,   -12.20,    -4.96,     3.98
197509,   -13.14,    -4.31,     5.08,   -11.04,    -3.57,     3.06
197510,   -12.78,    -2.97,     6.72,   -10.92,    -3.06,     2.79
197511,    -7.94,     3.16,    17.82,    -6.34,     4.70,    13.14
197512,    -7.17,     2.28,    15.86,    -4.52,     3.07,    10.14
197601,    -9.09,    -0.96,     9.82,    -7.71,    -0.48,     5.15
197602,     4.10,    17.53,    37.14,     6.07,    16.94,    29.73
197603,    -4.56,     5.33,    23.47,    -4.60,     4.19,    16.90
197604,    -8.11,     0.71,    15.02,    -6.39,     1.05,     9.16
197605,   -10.22,    -1.35,     9.53,    -8.44,    -1.40,     4.92
197606,   -10.33,    -1.79,     8.61,    -8.41,    -2.28,     5.84
197607,    -4.30,     3.90,    16.22,    -1.82,     4.75,    12.96
197608,    -8.75,    -0.19,     9.50,    -6.17,    -0.38,     6.88
197609,   -10.23,    -1.19,     8.47,    -7.79,    -0.85,     5.71
197610,    -6.08,     1.74,    12.50,    -4.00,     2.24,     8.28
197611,   -10.41,    -2.19,     6.58,    -8.16,    -2.69,     3.10
197612,    -5.30,     2.81,    14.24,    -4.43,     2.30,    10.45
197701,    -0.46,     8.06,    21.79,     1.10,     7.85,    15.21
197702,   -10.08,    -0.57,    12.80,    -9.32,    -0.93,     6.89
197703,    -9.45,    -1.94,     8.10,    -7.62,    -2.45,     3.16
197704,    -7.78,    -0.15,    10.43,    -5.79,    -0.42,     6.52
197705,    -6.45,     1.05,    12.16,    -5.71,     1.23,     8.54
197706,    -8.64,    -0.64,     9.00,    -6.53,    -0.35,     4.86
197707,    -1.98,     5.39,    17.88,    -0.73,     5.70,    12.57
197708,    -9.16,    -0.98,     7.88,    -7.49,    -0.90,     4.29
197709,    -9.41,    -1.85,     7.56,    -7.10,    -2.17,     4.64
197710,    -6.98,     0.04,    10.97,    -4.75,     0.04,     5.39
197711,   -10.94,    -3.25,     5.36,    -8.53,    -3.08,     2.68
197712,    -1.29,     6.50,    19.42,     0.33,     6.03,    14.84
197801,    -6.68,    -0.05,    10.56,    -5.17,    -0.11,     5.51
197802,   -11.43,    -4.47,     5.36,   -10.28,    -4.78,     1.89
197803,    -6.71,     0.14,    10.17,    -5.43,    -0.28,     5.94
197804,    -2.43,     5.13,    17.61,    -1.87,     4.70,    13.66
197805,    -1.38,     7.51,    20.02,     0.20,     7.77,    15.42
197806,    -3.89,     3.50,    17.70,    -2.60,     3.09,    11.87
197807,    -9.41,    -1.29,    10.17,    -6.98,    -1.35,     6.01
197808,    -3.08,     4.63,    18.68,    -1.06,     5.10,    13.27
197809,    -3.66,     4.88,    21.77,    -1.74,     4.59,    16.13
197810,    -9.72,    -1.49,     9.25,    -6.96,    -1.49,     5.00
197811,   -29.89,   -16.70,    -3.62,   -27.27,   -14.34,    -6.26
197812,    -4.25,     3.61,    18.14,    -3.19,     3.38,    12.82
197901,    -7.68,     0.34,    11.75,    -5.09,     0.40,     8.15
197902,    -1.10,     7.38,    21.22,     0.86,     6.49,    17.26
197903,   -11.03,    -3.36,     5.92,    -9.44,    -3.10,     2.36
197904,    -1.19,     7.18,    22.23,     0.21,     7.05,    17.65
197905,    -6.68,     0.59,    12.80,    -4.94,     0.71,     8.61
197906,    -9.62,    -1.81,     9.30,    -7.45,    -1.37,     4.67
197907,    -3.96,     4.15,    20.35,    -1.74,     4.13,    13.34
197908,    -6.04,     2.10,    13.57,    -3.51,     2.23,    10.27
197909,    -1.83,     6.52,    20.31,     0.33,     6.61,    15.49
197910,    -9.10,    -1.55,    10.73,    -7.41,    -2.03,     6.64
197911,   -18.83,    -9.67,     0.21,   -15.66,    -9.22,    -2.11
197912,    -2.59,     6.45,    21.84,    -2.07,     6.33,    17.05
198001,    -4.91,     2.90,    19.25,    -3.10,     2.71,    13.39
198002,    -4.83,     4.92,    24.27,    -4.53,     5.50,    17.94
198003,   -12.47,    -4.11,     9.84,   -11.10,    -4.60,    10.66
198004,   -25.96,   -13.50,    -3.12,   -23.67,   -13.26,    -1.81
198005,    -4.93,     5.80,    18.99,    -3.03,     5.78,    15.00
198006,    -1.62,     7.01,    18.78,     0.89,     6.68,    15.50
198007,    -4.83,     3.41,    15.23,    -2.76,     3.73,    12.34
198008,    -2.40,     8.52,    25.86,    -1.65,     8.54,    21.51
198009,    -5.62,     2.54,    17.85,    -4.23,     2.42,    13.74
198010,    -6.87,     1.62,    16.45,    -4.32,     1.46,    12.53
198011,    -7.90,     0.49,    17.72,    -6.60,     0.94,    11.76
198012,    -6.41,     3.19,    27.10,    -4.51,     4.21,    23.83
198101,   -13.45,    -2.23,     9.80,   -12.14,    -1.53,     8.00
198102,   -12.38,    -0.43,    12.15,   -11.37,    -1.35,     9.29
198103,    -8.29,     1.23,    13.12,    -5.87,     1.24,    10.33
198104,    -3.32,     7.04,    22.62,    -2.51,     6.90,    20.61
198105,    -9.75,     0.97,    14.73,    -8.86,     0.60,    10.19
198106,    -7.25,     1.33,    16.10,    -6.41,     1.46,    10.06
198107,   -12.96,    -0.38,    11.20,    -9.89,    -1.17,     8.97
198108,   -11.20,    -2.52,     9.28,   -10.04,    -2.34,     8.92
198109,   -16.86,    -6.54,     3.44,   -13.43,    -6.46,     1.08
198110,   -17.68,    -6.14,     4.09,   -15.50,    -5.88,     1.98
198111,    -4.35,     6.23,    22.37,    -3.68,     6.39,    18.97
198112,    -7.11,     3.31,    16.17,    -4.81,     3.55,    12.47
198201,   -11.47,    -2.40,     8.52,    -8.70,    -2.47,     5.00
198202,   -12.79,    -2.53,     9.25,   -11.23,    -2.49,     5.88
198203,   -15.24,    -3.53,     6.94,   -14.08,    -3.50,     3.96
198204,   -11.73,    -0.25,    11.76,    -9.26,    -0.17,     8.30
198205,    -4.89,     4.36,    18.20,    -2.69,     4.68,    12.59
198206,   -12.73,    -2.92,     6.97,   -11.46,    -3.06,     4.25
198207,   -13.28,    -2.04,     9.19,   -10.26,    -2.08,     6.05
198208,   -12.96,    -1.25,    10.11,   -10.47,    -1.33,     6.54
198209,    -1.17,    10.75,    24.98,     1.19,    11.58,    21.99
198210,    -8.74,     2.20,    15.15,    -5.40,     1.93,    12.11
198211,     0.66,    12.24,    31.04,     3.17,    11.72,    26.79
198212,    -5.25,     6.05,    25.22,    -3.50,     5.97,    18.05
198301,    -9.71,     0.69,    15.30,    -7.61,     1.03,     9.96
198302,    -4.99,     4.47,    22.33,    -4.15,     3.55,    15.11
198303,    -6.11,     4.67,    18.56,    -3.70,     3.97,    13.79
198304,    -6.96,     3.61,    18.50,    -4.38,     3.87,    13.52
198305,    -4.53,     5.84,    21.42,    -2.34,     6.49,    16.15
198306,    -6.17,     3.91,    21.86,    -4.79,     3.49,    14.86
198307,    -7.50,     2.57,    18.57,    -4.78,     3.03,    12.78
198308,   -13.75,    -2.00,     9.23,   -10.54,    -1.94,     5.95
198309,   -11.64,    -1.07,     9.18,    -9.00,    -0.92,     7.70
198310,    -9.05,     2.88,    13.23,    -5.68,     3.13,    10.35
198311,   -15.73,    -3.09,     7.43,   -13.16,    -2.74,     5.82
198312,    -5.58,     4.40,    17.33,    -4.57,     3.99,    13.45
198401,   -10.48,    -1.32,     8.87,    -8.52,    -1.74,     5.33
198402,   -12.84,    -0.98,    10.32,    -9.01,    -1.53,     8.90
198403,   -15.05,    -5.37,     4.57,   -12.54,    -4.84,     3.79
198404,    -8.51,     1.40,    13.49,    -5.52,     1.43,     9.91
198405,   -10.69,    -0.57,    10.63,    -8.26,     0.13,     6.92
198406,   -15.36,    -5.11,     5.00,   -13.04,    -4.80,     3.72
198407,    -7.35,     2.62,    14.94,    -4.87,     2.75,    12.02
